,음식,가격
0,돼지불백 정식,"8,500"
1,제육볶음&돼지불백 정식,"11,500"
2,돼지불백 묵은지 김치찌개 정식,"12,900"
3,돼지불백 덮밥,"5,900"
4,빅 돼지불백 덮밥,"6,500"
5,메가 돼지불백 덮밥,"7,800"
6,김치볶음밥&돼지불백,"7,900"
7,왕 제육 만두(2개),"2,500"
8,반찬 돼지불백,"4,500"
9,스페셜 고등어 부대찌개 도시락,"15,000"
10,스페셜 한우함박스테이크 도시락,"14,000"
11,스페셜 해바라기 도시락,"13,000"
12,스페셜 숯불직화 진달래 도시락,"12,000"
13,스페셜 송정식 떡갈비 도시락,"11,000"
14,진달래,"8,500"
15,해바라기,"10,000"
16,매화,"11,000"
17,돈치 고기고기,"6,500"
18,돈까스도련님 고기고기,"7,000"
19,새치 고기고기,"7,500"
20,칠리 찹쌀탕수육도련님,"4,800"
21,제육볶음,"5,000"
22,한우 함박스테이크& 청양 토네이도 소세지,"8,900"
23,돈까스도련님,"5,000"
24,한우 함박스테이크&토네이도 소세지,"8,900"
25,제육돈까스 도련님,"5,000"
26,돈치스팸,"5,300"
27,치킨제육,"5,300"
28,소불고기,"6,000"
29,동백,"6,500"
30,송정식 떡갈비,"7,000"
31,송정식 떡갈비 Ⅱ,"7,000"
32,메가치킨제육,"8,300"
33,치킨마요 부대찌개 정식,"8,000"
34,빅치킨마요 부대찌개 정식,"8,600"
35,메가스팸마요,"6,200"
36,스팸마요,"4,300"
37,메가치킨마요,"6,500"
38,왕치킨마요,"5,500"
39,빅치킨마요,"4,500"
40,치킨마요,"3,900"
41,참치마요,"3,700"
42,돈까스 카레,"4,900"
43,스팸 김치볶음밥,"5,000"
44,김치볶음밥,"4,200"
45,스팸 철판볶음밥,"5,000"
46,소불고기 철판볶음밥,"5,200"
47,묵은지 김치찌개,"6,000"
48,부대찌개,"6,500"
49,빅 제많덮(빅 제육 많이 덮밥),"7,200"
50,제많덮(제육 많이 덮밥),"6,200"
51,핫 치즈 닭갈비덮밥,"6,300"
52,오리지널 치즈 닭갈비덮밥,"6,300"
53,숯불직화구이 덮밥,"6,300"
54,마파두부 덮밥,"5,000"
55,왕카레돈까스덮밥,"6,500"
56,돈까스 덮밥,"4,500"
57,열무 감초고추장 비빔밥,"4,900"
58,열무 두부강된장 비빔밥,"5,500"
59,소불고기 감초고추장 비빔밥,"5,900"
60,시골제육 두부강된장 비빔밥,"6,500"
61,참치야채 감초고추장 비빔밥,"3,900"
62,단품 묵은지 김치찌개,"4,700"
63,단품 카레,"2,900"
64,반찬 순살 고등어 간장구이,"3,900"
65,단품 부대찌개,"5,200"
66,반찬 치킨,"4,000"
67,반찬 고기고기,"3,700"
68,반찬 돈까스도련님,"4,200"
69,반찬 제육볶음,"3,700"
70,반찬 토네이도 소세지,"3,200"
71,반찬 돈까스,"2,900"
72,3종 미니반찬A,"1,300"
73,한솥 두부강된장소스,"1,800"
74,한솥 감초볶음고추장소스,600
75,김치,500
76,무말랭이 무침,600
77,12곡밥,"2,100"
78,발아현미밥,"1,900"
79,한솥밥,"1,200"
80,케이준후라이,"1,900"
81,해시 포테이토 스틱,"2,000"
82,치즈버터 해시 포테이토 스틱,"2,200"
83,허니버터 해시 포테이토 스틱,"2,200"
84,미니 찹쌀탕수육,"2,300"
85,뉴 감자고로케,"2,700"
86,미니 찹쌀핫도그,"2,800"
87,크림 닭강정(소),"3,900"
88,크림 닭강정(중),"9,900"
89,통현미 닭강정(소),"3,500"
90,통현미 닭강정(중),"9,000"
91,후라이드 순살(소)_양념치킨소스,"4,000"
92,후라이드 순살(소)_케이준소스,"4,000"
93,후라이드 순살(중),"7,500"
94,"치킹 반반순살(양념, 후라이드)","16,900"
95,치킹 반반순살(후라이드),"16,900"
96,제주녹차 미니꿀호떡,"2,500"
